Core: hps_sdram_p0 - Instance: u0|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",1.406,1.414
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.774,--
"Core (Slow 1100mV 85C Model)",2.593,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",5.071,1.063
"DQS vs CK (Slow 1100mV 85C Model)",0.798,0.654
"Postamble (Slow 1100mV 85C Model)",0.824,0.824
"Read Capture (Slow 1100mV 85C Model)",0.302,0.254
"Write (Slow 1100mV 85C Model)",0.417,0.417
"Address Command (Slow 1100mV 0C Model)",1.438,1.394
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.801,--
"Core (Slow 1100mV 0C Model)",2.59,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",5.164,1.012
"DQS vs CK (Slow 1100mV 0C Model)",0.804,0.693
"Postamble (Slow 1100mV 0C Model)",0.815,0.815
"Read Capture (Slow 1100mV 0C Model)",0.318,0.27
"Write (Slow 1100mV 0C Model)",0.428,0.428
"Address Command (Fast 1100mV 85C Model)",1.605,1.306
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.91,--
"Core (Fast 1100mV 85C Model)",2.973,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",5.423,0.984
"DQS vs CK (Fast 1100mV 85C Model)",0.861,0.79
"Postamble (Fast 1100mV 85C Model)",0.908,0.908
"Read Capture (Fast 1100mV 85C Model)",0.438,0.391
"Write (Fast 1100mV 85C Model)",0.486,0.486
"Address Command (Fast 1100mV 0C Model)",1.644,1.316
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.923,--
"Core (Fast 1100mV 0C Model)",2.973,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",5.521,0.889
"DQS vs CK (Fast 1100mV 0C Model)",0.858,0.818
"Postamble (Fast 1100mV 0C Model)",0.912,0.912
"Read Capture (Fast 1100mV 0C Model)",0.439,0.392
"Write (Fast 1100mV 0C Model)",0.5,0.5
